"id","SA2_CODE_2021","SA2_NAME_2021","CHANGE_FLAG_2021","CHANGE_LABEL_2021","SA3_CODE_2021","SA3_NAME_2021","SA4_CODE_2021","SA4_NAME_2021","GCCSA_CODE_2021","GCCSA_NAME_2021","STATE_CODE_2021","STATE_NAME_2021","AUS_CODE_2021","AUS_NAME_2021","AREA_ALBERS_SQKM","ASGS_LOCI_URI_2021","ERP_2001","ERP_2006","ERP_2011","ERP_2016","ERP_2017","ERP_2018","ERP_2019","ERP_2020","ERP_2021","ERP_2022r","ERP_2023r","ERP_2024p","ERP_2025f","ERP_2026f","ERP_2027f","ERP_2028f","ERP_2029f","ERP_2030f","ERP_2031f","ERP_2032f","ERP_2033f","ERP_2034f","ERP_2035f"
29,"102011028","Avoca Beach - Copacabana","0","No change","10201","Gosford","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",6.4376,"http://linked.data.gov.au/dataset/asgsed3/SA2/102011028",7099,6949,7289,7626,7646,7655,7644,7615,7532,7482,7493,7570,7663,7707,7753,7801,7851,7902,7955,8009,8064,8118,8173
30,"102011029","Box Head - MacMasters Beach","0","No change","10201","Gosford","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",32.0802,"http://linked.data.gov.au/dataset/asgsed3/SA2/102011029",10153,10519,10699,10995,11037,11087,11094,11079,11057,11054,11146,11213,11330,11371,11418,11467,11520,11575,11632,11692,11752,11811,11870
31,"102011030","Calga - Kulnura","0","No change","10201","Gosford","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",767.9512,"http://linked.data.gov.au/dataset/asgsed3/SA2/102011030",4793,4756,4578,4858,4842,4833,4813,4783,4750,4700,4675,4694,4746,4768,4791,4816,4841,4869,4896,4925,4954,4983,5012
32,"102011031","Erina - Green Point","0","No change","10201","Gosford","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",33.7934,"http://linked.data.gov.au/dataset/asgsed3/SA2/102011031",13184,13674,14072,14342,14499,14666,14824,14859,14804,14652,14676,14680,14865,14954,15049,15147,15248,15354,15462,15572,15682,15793,15904
33,"102011032","Gosford - Springfield","0","No change","10201","Gosford","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",16.9123,"http://linked.data.gov.au/dataset/asgsed3/SA2/102011032",16067,17202,18748,19382,19705,20013,20442,20968,21359,21703,22083,22599,23392,24063,24726,25391,26057,26724,27394,28067,28739,29409,30079
34,"102011033","Kariong","0","No change","10201","Gosford","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",8.3063,"http://linked.data.gov.au/dataset/asgsed3/SA2/102011033",6558,6446,6669,6586,6578,6577,6570,6566,6518,6408,6464,6490,6551,6568,6588,6611,6634,6660,6686,6714,6742,6771,6799
35,"102011034","Kincumber - Picketts Valley","0","No change","10201","Gosford","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",11.7169,"http://linked.data.gov.au/dataset/asgsed3/SA2/102011034",7319,7394,7339,7483,7527,7582,7621,7637,7629,7536,7598,7590,7661,7683,7707,7733,7762,7792,7823,7856,7890,7922,7956
36,"102011035","Narara","0","No change","10201","Gosford","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",7.7021,"http://linked.data.gov.au/dataset/asgsed3/SA2/102011035",7037,6598,6725,6848,6925,6996,7061,7142,7191,7270,7303,7344,7467,7543,7622,7701,7782,7864,7949,8034,8119,8205,8289
37,"102011036","Niagara Park - Lisarow","0","No change","10201","Gosford","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",16.7316,"http://linked.data.gov.au/dataset/asgsed3/SA2/102011036",7341,7666,8299,8201,8222,8228,8240,8235,8237,8193,8253,8264,8364,8410,8458,8508,8561,8615,8671,8728,8786,8844,8901
38,"102011037","Point Clare - Koolewong","0","No change","10201","Gosford","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",6.7794,"http://linked.data.gov.au/dataset/asgsed3/SA2/102011037",6393,6101,6513,6389,6421,6449,6513,6598,6577,6612,6632,6667,6754,6797,6843,6891,6940,6989,7042,7094,7147,7200,7254
39,"102011038","Saratoga - Davistown","0","No change","10201","Gosford","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",4.7683,"http://linked.data.gov.au/dataset/asgsed3/SA2/102011038",6528,6512,6843,7195,7208,7241,7246,7227,7180,7207,7282,7348,7445,7493,7544,7598,7653,7709,7766,7825,7885,7944,8003
40,"102011039","Terrigal - North Avoca","0","No change","10201","Gosford","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",10.4791,"http://linked.data.gov.au/dataset/asgsed3/SA2/102011039",11850,12079,13224,13939,14119,14313,14541,14834,14894,14905,15230,15437,15740,15948,16159,16372,16587,16806,17027,17251,17474,17698,17921
41,"102011040","Umina - Booker Bay - Patonga","0","No change","10201","Gosford","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",25.2285,"http://linked.data.gov.au/dataset/asgsed3/SA2/102011040",22465,22318,23310,24235,24418,24559,24676,24872,24863,24845,24917,25007,25339,25508,25687,25871,26061,26256,26456,26662,26866,27071,27276
42,"102011041","Wamberal - Forresters Beach","0","No change","10201","Gosford","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",13.7221,"http://linked.data.gov.au/dataset/asgsed3/SA2/102011041",9039,9079,9511,10069,10284,10391,10534,10639,10693,10676,10789,10862,11028,11123,11222,11323,11427,11532,11640,11750,11859,11969,12078
43,"102011042","Woy Woy - Blackwall","0","No change","10201","Gosford","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",17.3963,"http://linked.data.gov.au/dataset/asgsed3/SA2/102011042",13029,13260,13669,14216,14367,14433,14469,14458,14406,14282,14437,14554,14720,14791,14867,14948,15032,15119,15209,15302,15395,15487,15581
44,"102011043","Wyoming","0","No change","10201","Gosford","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",8.381,"http://linked.data.gov.au/dataset/asgsed3/SA2/102011043",11741,11332,11530,11773,11747,11717,11674,11595,11460,11343,11302,11339,11434,11453,11478,11505,11536,11570,11605,11643,11681,11719,11758
45,"102021044","Bateau Bay - Killarney Vale","0","No change","10202","Wyong","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",10.8595,"http://linked.data.gov.au/dataset/asgsed3/SA2/102021044",21439,21468,22025,22478,22649,22784,22875,22984,22993,22903,22931,22990,23208,23273,23348,23429,23517,23608,23707,23808,23911,24013,24116
46,"102021045","Blue Haven - San Remo","0","No change","10202","Wyong","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",20.9795,"http://linked.data.gov.au/dataset/asgsed3/SA2/102021045",9010,10169,11087,11302,11384,11451,11471,11402,11392,11467,11557,11620,11765,11834,11907,11983,12062,12143,12227,12313,12400,12485,12571
47,"102021046","Budgewoi - Buff Point - Halekulani","0","No change","10202","Wyong","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",9.3297,"http://linked.data.gov.au/dataset/asgsed3/SA2/102021046",9024,8879,9216,9590,9653,9691,9708,9749,9793,9876,9911,9967,10064,10094,10129,10166,10206,10249,10293,10339,10386,10432,10479
48,"102021047","Chittaway Bay - Tumbi Umbi","0","No change","10202","Wyong","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",24.4986,"http://linked.data.gov.au/dataset/asgsed3/SA2/102021047",15143,15054,15748,15744,15819,15898,15963,16008,16080,16197,16223,16354,16633,16807,16987,17169,17354,17543,17735,17929,18124,18318,18512
49,"102021048","Gorokan - Kanwal - Charmhaven","0","No change","10202","Wyong","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",11.249,"http://linked.data.gov.au/dataset/asgsed3/SA2/102021048",20668,20191,21295,22584,22693,22790,22870,22779,22588,22584,22631,22740,22999,23108,23226,23351,23481,23616,23755,23899,24043,24188,24332
50,"102021049","Jilliby - Yarramalong","0","No change","10202","Wyong","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",346.7662,"http://linked.data.gov.au/dataset/asgsed3/SA2/102021049",3011,2918,3138,3423,3441,3466,3480,3445,3427,3451,3498,3566,3618,3647,3677,3708,3739,3772,3804,3839,3872,3906,3940
51,"102021050","Lake Munmorah - Mannering Park","0","No change","10202","Wyong","102","Central Coast","1GSYD","Greater Sydney","1","New South Wales","AUS","Australia",35.4946,"http://linked.data.gov.au/dataset/asgsed3/SA2/102021050",9041,9746,10400,10925,10962,10997,11017,11028,11013,11038,11082,11055,11160,11190,11226,11265,11306,11351,11396,11445,11494,11543,11591
